2.1399999999995742; 84.02831285551656; 4.347585201263428; 480622.0625; 573587.3822160078; -1016.9157620742917; 176344.32761249848; -13599250849.676888; -1016.9157620742917; 20919292.24008751
3.1599999999993713; 93.37219150236342; 13.814967155456543; 476009.75; 573543.8470624094; -1016.93099283427; 176517.6384851563; -13599250907.65301; -1016.93099283427; 20909995.371251106
4.11999999999918; 111.078306648531; 22.90408706665039; 471668.4375; 573511.3454069864; -1016.9681409224868; 176683.35737028834; -13599250953.74014; -1016.9681409224868; 20901247.979825497
5.139999999998977; 139.54864751035348; 32.752052307128906; 467055.75; 573485.9932977306; -1017.0364449545741; 176862.25990590075; -13599250993.520414; -1017.0364449545741; 20891956.702627182
6.1599999999987745; 178.16832757764496; 42.80158615112305; 462443.09375; 573470.2893192521; -1017.1384413987398; 177044.1369673972; -13599251023.645964; -1017.1384413987398; 20882668.399954796
7.1799999999985715; 227.14571618870832; 53.058082580566406; 457830.46875; 573464.4314718643; -1017.278968334198; 177229.05358533878; -13599251043.918787; -1017.278968334198; 20873383.136827946
8.13999999999838; 282.89533115632366; 62.905235290527344; 453489.125; 573468.0948518516; -1017.450925052166; 177405.92833318427; -13599251053.816418; -1017.450925052166; 20864646.901214123
9.179999999998174; 354.07053445943166; 73.7907485961914; 448786.0; 573482.3114015479; -1017.6851278543472; 177600.71180548082; -13599251054.284374; -1017.6851278543472; 20855185.81512165
10.179999999997975; 433.29736351559404; 84.47722625732422; 444263.75; 573506.2384752753; -1017.9615958929062; 177791.17741596123; -13599251044.47055; -1017.9615958929062; 20846091.79075861
11.179999999997776; 523.3227901186328; 95.38462829589844; 439741.53125; 573540.4321770028; -1018.2920619249344; 177984.82225846805; -13599251024.38376; -1018.2920619249344; 20837000.945608616
12.199999999997573; 626.5053150128806; 106.7429428100586; 435128.875; 573586.1074376038; -1018.6877225637436; 178185.6854992197; -13599250993.09102; -1018.6877225637436; 20827731.629049778
13.199999999997374; 739.0316923562204; 118.11441802978516; 430606.625; 573641.6948917798; -1019.1360739469528; 178385.96200939926; -13599250951.597673; -1019.1360739469528; 20818647.41555834
13.579999999997298; 787.2469963564072; 122.73020935058594; 428797.8125; 573668.0177937078; -1019.3330284357071; 178463.67270197114; -13599250930.628872; -1019.3330284357071; 20815197.02004528
13.579999999997298; 787.2469963564072; 122.73020935058594; 428797.8125; 573668.0177937078; -1019.3330284357071; 178463.67270197114; -13599250930.628872; -1019.3330284357071; 20815197.02004528
13.579999999997298; 787.2469963564072; 122.73020935058594; 428797.8125; 573668.0177937078; -1019.3330284357071; 178463.67270197114; -13599250930.628872; -1019.3330284357071; 20815197.02004528
13.579999999997298; 787.2469963564072; 122.73020935058594; 428797.8125; 573668.0177937078; -1019.3330284357071; 178463.67270197114; -13599250930.628872; -1019.3330284357071; 20815197.02004528
-31.11999999999381; 83.13889019936323; 0.0; 58000.0; 575268.6606873733; -1016.914628058672; 170776.7768050138; -13599248695.467014; -1016.9146307446063; 21222158.793162823
-30.119999999994008; 83.13889307482168; 6.537089662986273e-13; 58000.0; 575219.8395384538; -1016.9146307446063; 170941.1468013319; -13599248757.086105; -1016.9146307446063; 21213406.698536873
-29.09999999999421; 83.13889307482168; 6.821788685155983e-13; 58000.0; 575168.975807243; -1016.9146307446063; 171112.21095306467; -13599248822.599371; -1016.9146307446063; 21204107.583284378
-28.079999999994413; 82.86231495323591; 0.19846965372562408; 483064.4375; 575117.7960814866; -1016.9141309987754; 171283.18119456636; -13599248888.422033; -1016.9141309987754; 21194808.37413597
-27.079999999994612; 82.86762815550901; 0.04325808584690094; 483064.4375; 575067.835537248; -1016.914166148752; 171450.86303927941; -13599248952.732002; -1016.914166148752; 21185691.566370487
-26.099999999994807; 82.86887882417068; 0.01008935458958149; 483064.4375; 575018.8229809905; -1016.9141941238195; 171615.17597496504; -13599249015.800842; -1016.9141941238195; 21176757.079471588
-25.07999999999501; 82.86939340492245; 0.005260883830487728; 483064.4375; 574967.7592939746; -1016.9141934886575; 171786.18046109387; -13599249081.488071; -1016.9141934886575; 21167457.90453291
-24.07999999999521; 82.86948141187895; 0.004007963463664055; 483064.4375; 574917.6470875888; -1016.914191795513; 171953.8170493533; -13599249145.93068; -1016.914191795513; 21158341.051476
-23.059999999995412; 82.86950339947361; 0.0037830069195479155; 483064.4375; 574866.4822203739; -1016.9141911454499; 172124.79128973366; -13599249211.706036; -1016.9141911454499; 21149041.846264362
-22.039999999995615; 82.86950627923943; 0.0037203982938081026; 483064.4375; 574815.2664889001; -1016.9141909573227; 172295.7503007931; -13599249277.525656; -1016.9141909573227; 21139742.62582159
-21.019999999995818; 82.86950818030164; 0.0037087153177708387; 483064.4375; 574763.9999152295; -1016.9141906443983; 172466.69407206346; -13599249343.389523; -1016.9141906443983; 21130443.390120983
-19.99999999999602; 82.86950723920017; 0.0037061856128275394; 483064.4375; 574712.6825019323; -1016.9141909461468; 172637.62258848385; -13599249409.29764; -1016.9141909461468; 21121144.139166355
-18.979999999996224; 82.86950722092297; 0.003711074125021696; 483064.4375; 574661.3142573762; -1016.9141910262406; 172808.53583528087; -13599249475.24999; -1016.9141910262406; 21111844.872922897
-18.0999999999964; 83.03104202752002; 1.4701892137527466; 482056.8125; 574617.1105349388; -1016.9143779855222; 172956.0242090826; -13599249532.030777; -1016.9143779855222; 21103822.01034975
-17.079999999996602; 89.35823944234289; 10.822774887084961; 477456.875; 574571.7092478841; -1016.9244134873152; 173128.72283052266; -13599249592.003887; -1016.9244134873152; 21094524.52947426
